Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.90,"[310.6242370605469, 123.91133117675781, 388.7572937011719, 224.12319946289062]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.86,"[220.0253143310547, 150.84262084960938, 286.7156066894531, 235.53701782226562]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.85,"[362.8172912597656, 297.26470947265625, 467.72607421875, 421.39794921875]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.84,"[264.2198791503906, 171.60745239257812, 346.6858825683594, 273.9417724609375]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.82,"[263.80743408203125, 276.31048583984375, 334.9369201660156, 371.29840087890625]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.75,"[235.7091064453125, 213.4521026611328, 302.7821960449219, 317.6912536621094]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.59,"[261.42620849609375, 131.70883178710938, 335.54010009765625, 226.15982055664062]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.52,"[273.309326171875, 237.52328491210938, 360.84771728515625, 369.1983947753906]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.41,"[280.4474182128906, 348.37237548828125, 373.5721130371094, 443.64239501953125]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.40,"[261.11859130859375, 136.16781616210938, 344.325439453125, 274.78668212890625]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.96,"[199.75759887695312, 178.56246948242188, 283.3721923828125, 258.4593200683594]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.96,"[93.36399841308594, 152.7094268798828, 177.14691162109375, 231.79489135742188]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.93,"[40.68962860107422, 200.98875427246094, 138.5576934814453, 280.5142517089844]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.93,"[143.37088012695312, 166.363525390625, 227.76318359375, 244.630615234375]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.92,"[244.0294952392578, 227.93472290039062, 330.85528564453125, 305.652099609375]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.92,"[158.14089965820312, 225.7333984375, 273.4573059082031, 309.02996826171875]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.91,"[143.52749633789062, 102.75846862792969, 221.25991821289062, 189.551513671875]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.91,"[245.3278350830078, 132.051513671875, 347.76531982421875, 212.95498657226562]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.85,"[44.45337677001953, 100.94849395751953, 172.60513305664062, 191.56625366210938]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.85,"[113.41581726074219, 208.7853546142578, 187.69772338867188, 285.33843994140625]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.84,"[194.77186584472656, 112.3526611328125, 269.0234375, 205.1323699951172]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.61,"[43.52557373046875, 146.14059448242188, 113.89546966552734, 233.28244018554688]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.42,"[247.9386749267578, 182.9210662841797, 345.0992126464844, 263.00567626953125]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.36,"[240.4326171875, 123.5843505859375, 323.7919921875, 207.5941162109375]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.34,"[202.6560516357422, 180.3064422607422, 328.50341796875, 261.07470703125]",
dataset\train\images\Cannabis_2_jpg.rf.46be8cecd17c4c33a8d4fcc1d6fa3d71.jpg,Cannabis,0.28,"[128.1266326904297, 165.4918975830078, 228.1673126220703, 280.35211181640625]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.94,"[272.20733642578125, 138.94290161132812, 367.7452087402344, 220.68753051757812]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.92,"[85.42301940917969, 110.43925476074219, 154.26278686523438, 192.8549041748047]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.92,"[71.24494171142578, 165.12496948242188, 160.0070037841797, 231.9970703125]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.91,"[192.7894287109375, 103.10685729980469, 261.5190124511719, 173.5677032470703]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.90,"[226.68252563476562, 125.75511169433594, 300.9691467285156, 198.55294799804688]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.89,"[173.32492065429688, 150.07568359375, 243.53115844726562, 223.5742645263672]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.88,"[131.34207153320312, 134.40365600585938, 204.22940063476562, 200.56936645507812]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.83,"[239.687255859375, 230.1418914794922, 315.6681213378906, 297.65118408203125]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.79,"[139.0211639404297, 179.9332275390625, 199.6114959716797, 251.1436309814453]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.75,"[104.0845947265625, 73.78202819824219, 226.31149291992188, 160.1992950439453]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.67,"[218.4279327392578, 175.40191650390625, 296.64617919921875, 257.32464599609375]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.61,"[163.62872314453125, 206.9908905029297, 265.8716735839844, 282.05523681640625]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.55,"[219.1112060546875, 179.50662231445312, 326.75714111328125, 274.9163818359375]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.47,"[227.8802490234375, 185.9355926513672, 348.2570495605469, 279.9806213378906]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.34,"[139.10116577148438, 139.3883056640625, 244.2627410888672, 223.98849487304688]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.29,"[86.12541198730469, 82.45897674560547, 193.738525390625, 193.11856079101562]",
dataset\train\images\Cannabis_2_jpg.rf.4bec5a3621edf45784506d7d1a8feb7f.jpg,Cannabis,0.27,"[141.9530029296875, 191.8218536376953, 262.87713623046875, 278.81512451171875]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.94,"[335.08892822265625, 203.9964599609375, 436.7999572753906, 274.58953857421875]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.92,"[289.73309326171875, 164.4822540283203, 371.1387634277344, 234.1368865966797]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.90,"[249.94802856445312, 181.13015747070312, 316.1320495605469, 255.6396484375]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.89,"[130.14633178710938, 160.7165985107422, 217.27554321289062, 238.6685028076172]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.89,"[346.16864013671875, 147.8833465576172, 425.28564453125, 229.8209686279297]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.86,"[153.11520385742188, 254.0249786376953, 235.03475952148438, 318.2134094238281]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.84,"[278.6220703125, 214.15573120117188, 358.28594970703125, 285.1701965332031]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.83,"[287.12188720703125, 102.05989074707031, 418.28472900390625, 187.8004913330078]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.77,"[188.88067626953125, 201.70196533203125, 267.9097595214844, 280.3275451660156]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.76,"[237.9595184326172, 124.9015884399414, 316.4263610839844, 204.47512817382812]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.70,"[211.35806274414062, 240.2923583984375, 312.94708251953125, 321.2243347167969]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.66,"[139.08755493164062, 209.7086944580078, 230.238037109375, 313.8672790527344]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.64,"[147.2097625732422, 202.79824829101562, 264.23529052734375, 298.7822265625]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.58,"[141.5927734375, 296.96600341796875, 236.2062530517578, 371.84503173828125]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.55,"[189.83767700195312, 129.86642456054688, 268.08843994140625, 220.9995880126953]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.55,"[188.61489868164062, 126.2322769165039, 304.32098388671875, 220.1419219970703]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.49,"[287.21807861328125, 107.90043640136719, 385.44891357421875, 196.966552734375]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.38,"[140.0996551513672, 206.48428344726562, 241.9365692138672, 288.45184326171875]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.37,"[218.34164428710938, 114.3511962890625, 315.5452575683594, 206.7057342529297]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.36,"[330.2084045410156, 105.63812255859375, 422.09405517578125, 193.69207763671875]",
dataset\train\images\Cannabis_2_jpg.rf.5479df3f95b9a1e13722d864d8fb2747.jpg,Cannabis,0.29,"[265.3780212402344, 164.56910705566406, 368.92120361328125, 260.93560791015625]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.96,"[354.44207763671875, 266.61981201171875, 455.6659240722656, 344.6427917480469]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.93,"[258.77899169921875, 286.7911071777344, 335.3775634765625, 357.6297912597656]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.93,"[297.7317810058594, 304.46661376953125, 389.1827697753906, 386.3955078125]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.91,"[178.4311065673828, 208.54653930664062, 257.4507751464844, 280.32818603515625]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.90,"[244.23550415039062, 336.8548889160156, 325.926513671875, 424.45819091796875]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.84,"[296.6458435058594, 248.114013671875, 377.67889404296875, 326.3258361816406]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.82,"[143.0806121826172, 292.30548095703125, 235.03976440429688, 375.6451110839844]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.74,"[359.1966857910156, 315.9745178222656, 447.7928771972656, 400.4673767089844]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.62,"[154.032470703125, 254.46762084960938, 262.7958068847656, 333.97454833984375]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.55,"[226.07669067382812, 216.521484375, 326.59527587890625, 297.52728271484375]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.50,"[202.18624877929688, 258.5370788574219, 286.5457763671875, 341.1755065917969]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.42,"[351.7684020996094, 310.6185607910156, 449.9827575683594, 429.4647521972656]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.42,"[296.5265197753906, 355.3211364746094, 433.70526123046875, 445.8919982910156]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.36,"[148.29995727539062, 251.9242401123047, 287.3685607910156, 374.1546630859375]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.31,"[196.72972106933594, 311.21356201171875, 283.3099060058594, 399.4915771484375]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.31,"[154.48373413085938, 295.745849609375, 286.4381408691406, 392.3192443847656]",
dataset\train\images\Cannabis_2_jpg.rf.99ef2bfcabd52c3bf08804556fe3befa.jpg,Cannabis,0.29,"[260.914794921875, 247.1181182861328, 346.4391174316406, 358.5279846191406]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.90,"[174.1411590576172, 248.5776824951172, 264.3360900878906, 319.00006103515625]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.86,"[330.958984375, 215.2537078857422, 425.44281005859375, 296.10369873046875]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.80,"[283.2115173339844, 215.051513671875, 359.7181701660156, 296.0218811035156]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.75,"[310.60235595703125, 264.4248962402344, 395.96600341796875, 345.4703063964844]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.75,"[369.65740966796875, 275.00494384765625, 473.0121154785156, 349.38226318359375]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.61,"[289.44183349609375, 147.8729705810547, 372.06097412109375, 240.4700927734375]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.56,"[225.70034790039062, 261.49200439453125, 332.7127380371094, 345.84539794921875]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.49,"[163.78221130371094, 155.7824249267578, 259.50848388671875, 244.1969757080078]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.46,"[339.3971252441406, 163.92727661132812, 457.90203857421875, 258.1471862792969]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.40,"[378.72479248046875, 226.78970336914062, 473.5425720214844, 329.6927185058594]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.35,"[385.6936950683594, 209.5968780517578, 475.96978759765625, 308.2344665527344]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.33,"[290.525146484375, 214.98684692382812, 420.2015075683594, 297.4462585449219]",
dataset\train\images\Cannabis_2_jpg.rf.a1f1592ed5fffbf3953bda60863e3917.jpg,Cannabis,0.28,"[274.2252502441406, 264.24810791015625, 399.3439025878906, 351.80328369140625]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.93,"[353.24456787109375, 233.01766967773438, 463.117431640625, 309.1465759277344]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.93,"[272.1900329589844, 188.841796875, 346.37298583984375, 262.718017578125]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.91,"[182.81076049804688, 232.4648895263672, 259.4720458984375, 304.14788818359375]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.91,"[321.4052734375, 136.92520141601562, 453.337158203125, 220.69686889648438]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.85,"[168.03506469726562, 141.74630737304688, 258.45947265625, 218.82937622070312]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.83,"[320.31634521484375, 189.1063995361328, 396.8484191894531, 256.75421142578125]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.79,"[222.36392211914062, 195.40638732910156, 295.024169921875, 267.943115234375]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.78,"[371.42779541015625, 184.9977569580078, 461.6546325683594, 266.9944763183594]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.78,"[235.51669311523438, 238.43807983398438, 331.33465576171875, 311.45257568359375]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.77,"[264.093994140625, 132.79061889648438, 349.61468505859375, 216.94027709960938]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.69,"[305.64007568359375, 230.6696319580078, 377.54937744140625, 307.4178771972656]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.57,"[320.7561950683594, 137.89553833007812, 421.88873291015625, 231.5369873046875]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.55,"[171.82571411132812, 190.93728637695312, 256.7718200683594, 271.68438720703125]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.34,"[238.64712524414062, 134.08792114257812, 305.31488037109375, 218.9315185546875]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.29,"[239.12890625, 233.01318359375, 377.5654296875, 313.7832946777344]",
dataset\train\images\Cannabis_2_jpg.rf.a99b577b68176619ab06a98fe4bf561f.jpg,Cannabis,0.26,"[365.1482849121094, 182.58860778808594, 465.0686950683594, 292.2369689941406]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.90,"[114.25749206542969, 299.34844970703125, 169.8187255859375, 417.0196228027344]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.88,"[177.19692993164062, 254.28652954101562, 231.7113800048828, 330.5113220214844]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.88,"[203.54147338867188, 339.569580078125, 255.23049926757812, 429.44476318359375]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.88,"[152.5278778076172, 146.96688842773438, 207.58767700195312, 242.56594848632812]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.81,"[208.68862915039062, 278.64898681640625, 262.043701171875, 357.63763427734375]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.80,"[121.6518783569336, 253.8620147705078, 179.51974487304688, 325.4833068847656]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.79,"[229.3236083984375, 223.55264282226562, 283.85491943359375, 316.92877197265625]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.75,"[159.40750122070312, 301.6641540527344, 215.27096557617188, 373.7118225097656]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.75,"[241.25015258789062, 167.96395874023438, 285.51409912109375, 246.2600555419922]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.69,"[191.95498657226562, 154.3647003173828, 246.6449737548828, 271.98211669921875]",
dataset\train\images\Cannabis_2_jpg.rf.aaf1501a6c2430bb5a2cf4d9a6fc5c5a.jpg,Cannabis,0.44,"[147.3758544921875, 355.8414001464844, 212.1013946533203, 433.4749450683594]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.93,"[177.76904296875, 338.6863708496094, 236.759033203125, 436.4501953125]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.93,"[216.96517944335938, 220.2177276611328, 275.16009521484375, 317.17095947265625]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.92,"[159.9482421875, 250.9707489013672, 218.090087890625, 327.9764099121094]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.91,"[75.9944839477539, 295.0357971191406, 151.3319854736328, 417.85467529296875]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.90,"[232.2786407470703, 161.77749633789062, 289.09393310546875, 245.49789428710938]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.89,"[136.8489532470703, 138.05081176757812, 206.47012329101562, 236.03390502929688]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.88,"[100.96690368652344, 244.1237335205078, 166.87644958496094, 320.6614685058594]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.88,"[185.93116760253906, 281.1881408691406, 249.44140625, 364.71337890625]",
dataset\train\images\Cannabis_2_jpg.rf.b01de62abfd92ea7608f112bdb0b059f.jpg,Cannabis,0.85,"[134.1163787841797, 296.1595153808594, 196.97592163085938, 378.6531677246094]",
